Date,License Plate,Description,Camera,Site
11/04/2025 10:32:21 AM UTC,ML12FDA,,CB52-E Bullet Camera,Coventry
11/04/2025 10:31:56 AM UTC,NI0LTE,,CB52-E Bullet Camera,Coventry
11/04/2025 10:31:35 AM UTC,B2A0G,,CB52-E Bullet Camera,Coventry
11/04/2025 10:28:04 AM UTC,AF65JZM,,CB52-E Bullet Camera,Coventry
11/04/2025 10:25:25 AM UTC,CV74VCF,,CB52-E Bullet Camera,Coventry
11/04/2025 10:24:53 AM UTC,R024WFP,,CB52-E Bullet Camera,Coventry
11/04/2025 10:20:42 AM UTC,LL15UHT,,CB52-E Bullet Camera,Coventry
11/04/2025 10:16:56 AM UTC,BV24FWM,,CB52-E Bullet Camera,Coventry
11/04/2025 10:16:38 AM UTC,EK70WVZ,,CB52-E Bullet Camera,Coventry
11/04/2025 10:08:47 AM UTC,KN74ZKS,,CB52-E Bullet Camera,Coventry
11/04/2025 10:04:40 AM UTC,KN66CEX,,CB52-E Bullet Camera,Coventry
11/04/2025 10:02:08 AM UTC,LF24V0J,,CB52-E Bullet Camera,Coventry
11/04/2025 09:50:12 AM UTC,ND74KLK,,CB52-E Bullet Camera,Coventry
11/04/2025 09:50:06 AM UTC,WU72MLL,,CB52-E Bullet Camera,Coventry
11/04/2025 09:47:06 AM UTC,DX74ZFC,,CB52-E Bullet Camera,Coventry
11/04/2025 09:41:36 AM UTC,BP21WGU,,CB52-E Bullet Camera,Coventry
11/04/2025 09:41:28 AM UTC,BC18AEU,,CB52-E Bullet Camera,Coventry
11/04/2025 09:39:59 AM UTC,0Y64EUJ,,CB52-E Bullet Camera,Coventry
11/04/2025 09:36:25 AM UTC,LW15GGF,,CB52-E Bullet Camera,Coventry
11/04/2025 09:27:23 AM UTC,H20MHX,,CB52-E Bullet Camera,Coventry
11/04/2025 09:22:08 AM UTC,WM09FYH,,CB52-E Bullet Camera,Coventry
11/04/2025 09:21:41 AM UTC,GV06HZZ,,CB52-E Bullet Camera,Coventry
11/04/2025 09:16:43 AM UTC,AE08HRX,,CB52-E Bullet Camera,Coventry
11/04/2025 09:12:38 AM UTC,YJ19TDU,,CB52-E Bullet Camera,Coventry
11/04/2025 09:09:51 AM UTC,FG12BYU,,CB52-E Bullet Camera,Coventry
11/04/2025 09:04:56 AM UTC,0W25RYC,,CB52-E Bullet Camera,Coventry
11/04/2025 09:01:48 AM UTC,GY58WEA,,CB52-E Bullet Camera,Coventry
11/04/2025 09:00:35 AM UTC,MM16EAW,,CB52-E Bullet Camera,Coventry
11/04/2025 08:56:49 AM UTC,LG72DVN,,CB52-E Bullet Camera,Coventry
11/04/2025 08:56:20 AM UTC,BF70BFA,,CB52-E Bullet Camera,Coventry
11/04/2025 08:53:36 AM UTC,C0V8DUV,,CB52-E Bullet Camera,Coventry
11/04/2025 08:51:12 AM UTC,ML68YEK,,CB52-E Bullet Camera,Coventry
11/04/2025 08:51:06 AM UTC,NX18SVY,,CB52-E Bullet Camera,Coventry
11/04/2025 08:48:53 AM UTC,VK61BXN,,CB52-E Bullet Camera,Coventry
11/04/2025 08:41:25 AM UTC,DL64DB0,,CB52-E Bullet Camera,Coventry
11/04/2025 08:39:18 AM UTC,BL69FCY,,CB52-E Bullet Camera,Coventry
11/04/2025 08:30:17 AM UTC,EK23CDE,,CB52-E Bullet Camera,Coventry
11/04/2025 08:26:25 AM UTC,BG24LYX,,CB52-E Bullet Camera,Coventry
11/04/2025 08:07:13 AM UTC,DS21Y0P,,CB52-E Bullet Camera,Coventry
11/04/2025 07:59:14 AM UTC,DY66AV0,,CB52-E Bullet Camera,Coventry
11/04/2025 07:42:29 AM UTC,LD20PUH,,CB52-E Bullet Camera,Coventry
11/04/2025 07:41:13 AM UTC,KS14VCP,,CB52-E Bullet Camera,Coventry
11/04/2025 07:39:19 AM UTC,YB19VSZ,,CB52-E Bullet Camera,Coventry
11/04/2025 07:19:30 AM UTC,PK20YJP,,CB52-E Bullet Camera,Coventry
11/04/2025 05:18:30 AM UTC,KE212RV,,CB52-E Bullet Camera,Coventry
11/04/2025 03:07:54 AM UTC,HS6BY0G,,CB52-E Bullet Camera,Coventry
11/04/2025 12:55:33 AM UTC,NU74HKF,,CB52-E Bullet Camera,Coventry
11/04/2025 12:38:57 AM UTC,BX73FXH,,CB52-E Bullet Camera,Coventry
11/03/2025 11:24:27 PM UTC,ML68VTE,,CB52-E Bullet Camera,Coventry
11/03/2025 11:08:45 PM UTC,RE12JJV,,CB52-E Bullet Camera,Coventry
11/03/2025 10:33:59 PM UTC,LG72DSZ,,CB52-E Bullet Camera,Coventry
11/03/2025 10:29:46 PM UTC,PE15WZU,,CB52-E Bullet Camera,Coventry
11/03/2025 10:26:40 PM UTC,FL12TX0,,CB52-E Bullet Camera,Coventry
11/03/2025 10:05:13 PM UTC,VF22BJV,,CB52-E Bullet Camera,Coventry
11/03/2025 09:58:05 PM UTC,0E17XMR,,CB52-E Bullet Camera,Coventry
11/03/2025 09:12:09 PM UTC,YD678ZW,,CB52-E Bullet Camera,Coventry
11/03/2025 09:05:25 PM UTC,EF600EB,,CB52-E Bullet Camera,Coventry
11/03/2025 09:04:31 PM UTC,KM65VBF,,CB52-E Bullet Camera,Coventry
11/03/2025 08:51:31 PM UTC,BF72PUY,,CB52-E Bullet Camera,Coventry
11/03/2025 08:39:05 PM UTC,YK72E7V,,CB52-E Bullet Camera,Coventry
11/03/2025 08:30:28 PM UTC,SD13TT3,,CB52-E Bullet Camera,Coventry
11/03/2025 08:00:09 PM UTC,GG64GC,,CB52-E Bullet Camera,Coventry
11/03/2025 07:42:45 PM UTC,LG72EBV,,CB52-E Bullet Camera,Coventry
11/03/2025 07:09:29 PM UTC,ST69VPF,,CB52-E Bullet Camera,Coventry
11/03/2025 07:06:47 PM UTC,RJAPHY,,CB52-E Bullet Camera,Coventry
11/03/2025 06:49:42 PM UTC,GV06HZZ,,CB52-E Bullet Camera,Coventry
11/03/2025 06:18:32 PM UTC,LP68UFM,,CB52-E Bullet Camera,Coventry
11/03/2025 06:18:12 PM UTC,EA59NLC,,CB52-E Bullet Camera,Coventry
11/03/2025 06:15:37 PM UTC,YCJJFX,,CB52-E Bullet Camera,Coventry
11/03/2025 06:00:31 PM UTC,VF22BJV,,CB52-E Bullet Camera,Coventry
11/03/2025 05:56:24 PM UTC,EG10MAR,,CB52-E Bullet Camera,Coventry
11/03/2025 05:51:32 PM UTC,BR18F0P,,CB52-E Bullet Camera,Coventry
11/03/2025 05:46:11 PM UTC,LG22E9X,,CB52-E Bullet Camera,Coventry
11/03/2025 05:44:35 PM UTC,SK74A0N,,CB52-E Bullet Camera,Coventry
11/03/2025 05:38:14 PM UTC,SA10JVC,,CB52-E Bullet Camera,Coventry
11/03/2025 05:35:53 PM UTC,Y263LAP,,CB52-E Bullet Camera,Coventry
11/03/2025 05:34:03 PM UTC,ST69VPF,,CB52-E Bullet Camera,Coventry
11/03/2025 05:25:17 PM UTC,LR16MKC,,CB52-E Bullet Camera,Coventry
11/03/2025 05:15:29 PM UTC,BV74FFH,,CB52-E Bullet Camera,Coventry
11/03/2025 05:14:42 PM UTC,B624LYX,,CB52-E Bullet Camera,Coventry
11/03/2025 05:11:45 PM UTC,FV07V6P,,CB52-E Bullet Camera,Coventry
11/03/2025 04:58:30 PM UTC,BW16RE0,,CB52-E Bullet Camera,Coventry
11/03/2025 04:54:39 PM UTC,BF22RNZ,,CB52-E Bullet Camera,Coventry
11/03/2025 04:47:55 PM UTC,FL12TX0,,CB52-E Bullet Camera,Coventry
11/03/2025 04:46:44 PM UTC,VA59KPY,,CB52-E Bullet Camera,Coventry
11/03/2025 04:41:35 PM UTC,LS67GKK,,CB52-E Bullet Camera,Coventry
11/03/2025 04:28:57 PM UTC,WD15BXM,,CB52-E Bullet Camera,Coventry
11/03/2025 04:14:07 PM UTC,PH51FYH,,CB52-E Bullet Camera,Coventry
11/03/2025 04:10:07 PM UTC,BH17PPF,,CB52-E Bullet Camera,Coventry
11/03/2025 03:56:12 PM UTC,FE68VEV,,CB52-E Bullet Camera,Coventry
11/03/2025 03:54:32 PM UTC,RE12JJV,,CB52-E Bullet Camera,Coventry
